scan converged score pose
1 1 0.000115945 [  0.9999,-0.01436,       0,       0,  0.01436,  0.9999,       0,       0,        0,       0,       1,       0, -0.006363, 0.01321,       0,       1]
2 1 0 [1,0,0,0, 0,1,0,0, 0,0,1,0, 0,0,0,1]
3 1 0.451641 [        1,-0.007037,        0,        0,  0.007037,        1,        0,        0,         0,        0,        1,        0, -0.004344, 0.006312,        0,        1]
4 1 0.59331 [        1,-0.004151,        0,        0,  0.004151,        1,        0,        0,         0,        0,        1,        0,  -0.00327, 0.005584,        0,        1]
5 1 0.805445 [   0.9999,  0.01626,        0,        0,  -0.01626,   0.9999,        0,        0,         0,        0,        1,        0,  -0.01302,-0.007794,        0,        1]
6 1 0.247046 [        1, 0.009296,        0,        0, -0.009296,        1,        0,        0,         0,        0,        1,        0, 0.0007372,-0.004477,        0,        1]
7 1 0.802975 [        1, 0.003492,        0,        0, -0.003492,        1,        0,        0,         0,        0,        1,        0, -0.004619,0.0008389,        0,        1]
8 1 0.901719 [        1,-0.002713,        0,        0,  0.002713,        1,        0,        0,         0,        0,        1,        0, -0.003435, 0.006376,        0,        1]
9 1 1.04952 [        1,-0.000491,        0,        0,  0.000491,        1,        0,        0,         0,        0,        1,        0, -0.004843, 0.003282,        0,        1]
10 1 1.4728 [        1,-0.005575,        0,        0,  0.005575,        1,        0,        0,         0,        0,        1,        0, -0.009174, 0.002012,        0,        1]
11 1 0.840648 [  0.9999, -0.0145,       0,       0,   0.0145,  0.9999,       0,       0,        0,       0,       1,       0, -0.006697,0.008298,       0,       1]
12 1 0.422832 [        1,-0.005224,        0,        0,  0.005224,        1,        0,        0,         0,        0,        1,        0, -0.009866, 0.002087,        0,        1]
13 1 0.428073 [  0.9999, 0.01312,       0,       0, -0.01312,  0.9999,       0,       0,        0,       0,       1,       0, 0.008048,-0.00551,       0,       1]
14 1 0.450019 [         1,-0.0005405,         0,         0,  0.0005405,         1,         0,         0,          0,         0,         1,         0,  0.0001997,  0.001994,         0,         1]
15 1 0.451641 [        1,0.0007055,        0,        0, -0.0007055,        1,        0,        0,         0,        0,        1,        0,  0.001658,  0.00196,        0,        1]
16 1 0.490188 [        1, 0.006067,        0,        0, -0.006067,        1,        0,        0,         0,        0,        1,        0,  0.003393,-0.001196,        0,        1]
17 1 0.591573 [        1,0.0006334,        0,        0, -0.0006334,        1,        0,        0,         0,        0,        1,        0,  0.002011, -0.01176,        0,        1]
18 1 0.574369 [        1,-0.000729,        0,        0,  0.000729,        1,        0,        0,         0,        0,        1,        0, 0.0001427, 0.003872,        0,        1]
19 1 0.696566 [        1,-0.005034,        0,        0,  0.005034,        1,        0,        0,         0,        0,        1,        0, -0.004245, 0.004139,        0,        1]
