comment,"OptiTrack Export Data"
comment,"== "
comment,"Format Information:"
comment,"== "
comment,"== Data is formatted in rows."
comment,"== First entry of each row identifies row type."
comment,"== "
comment,"== Types:"
comment,"== "
comment,"== comment: A comment. You can ignore this information"
comment,"== info: Reports the file format version number, the number of rigid body definitions, and"
comment,"==       total number of exported frames"
comment,"== rigidbody: Details a rigid body definition in the following format:"
comment,"==    -- Name (string)"
comment,"==    -- ID   (integer)"
comment,"==    -- Marker Count (integer)"
comment,"==    -- X,Y,Z (float) 3D position of each marker in rigid body"
comment,"== "
comment,"== frame: Details frame of exported data in the following format:"
comment,"==    -- Frame Index (integer)"
comment,"==    -- Time Stamp (double) in seconds"
comment,"==    -- Rigid Body Count (integer) number of rigid bodies tracked in current frame"
comment,"==    -- Rigid Body ID, Position, Quaternion Orientation, and Euler Angle Orientation >for each tracked rigid body< (ID, x,y,z, qx, qy, qz, qw, yaw, pitch, roll)"
comment,"==    -- Marker Count (integer) Count of all visible markers in frame"
comment,"==    -- Marker Detail >for each reconstructed 3D marker< (x,y,z,id,name)"
comment,"== rigidbody: Extended information for current frame:"
comment,"==    -- Frame Index (integer)"
comment,"==    -- Time Stamp (double) in seconds"
comment,"==    -- Name (string)"
comment,"==    -- ID   (integer)"
comment,"==    -- Frames Since Last Tracked (integer). 0=currently tracked"
comment,"==    -- Marker Count (integer)"
comment,"==    -- Rigid Body Marker Location and ID >for each marker in rigid body< (x,y,z,id)"
comment,"==    -- Point Cloud Marker corresponding to each rigid body marker (x,y,z). (NAN,NAN,NAN) used for missing Point Cloud Markers."
comment,"==    -- Marker Tracked (integer) for each marker. 1=track, 0=untracked."
comment,"==    -- Marker Quality (float) for each marker. 1.0=Highest Quality, 0.0=Lowest Quality"
comment,"==    -- Mean Error (in mm/marker)"
comment,"== righthanded: Indicates a right-handed coordinate system"
comment,"== lefthanded: Indicates a left-handed coordinate system"
comment,"== "
righthanded
info,version,1.1
info,framecount,876
info,rigidbodycount,2
rigidbody,"Rigid Body 1",1,3,0.00380631,-0.00165981,0.04992601,-0.02145426,0.00969001,-0.27488855,0.01764794,-0.00803019,0.22496250
rigidbody,"Rigid Body 2",2,3,-0.03956044,-0.00198732,0.03026402,-0.03561771,0.00257828,-0.04699895,0.07517803,-0.00059096,0.01673487
frame,0,0.00000000,1,2,1.40067232,0.08604179,0.11998077,0.00790698,-0.04461915,-0.02518005,0.99865538,-5.14213514,-2.84227848,1.03492904,4,2.49839354,0.59535921,-1.18376029,3,Marker-3,1.36398005,0.08468890,0.15347570,3,Rigid Body 2-Marker 1,1.35945678,0.08482885,0.07404298,6,Rigid Body 2-Marker 2,1.47715116,0.08730036,0.13140792,9,Rigid Body 2-Marker 3
rigidbody,0,0.00000000,"Rigid Body 1",1,848,3,0.00000000,0.00000000,-0.00000000,0,0.00000000,0.00000000,-0.00000000,0,0.00000000,0.00000000,-0.00000000,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000
rigidbody,0,0.00000000,"Rigid Body 2",2,0,3,1.36402571,0.08501387,0.15375741,3,1.36094499,0.08581127,0.07632464,6,1.47704613,0.08730023,0.12986022,9,1.36398005,0.08468890,0.15347570,1.35945678,0.08482885,0.07404298,1.47715116,0.08730036,0.13140792,1,1,1,0.55936611,0.00000000,0.35935801,0.00178943
frame,1,0.00833333,1,2,1.40054274,0.08562059,0.11992191,0.00655557,-0.04506334,-0.02475316,0.99865586,-5.18880844,-2.79995275,0.87910980,4,2.49838161,0.59535766,-1.18377090,3,Marker-3,1.36392653,0.08462172,0.15343040,3,Rigid Body 2-Marker 1,1.35942829,0.08478693,0.07413115,6,Rigid Body 2-Marker 2,1.47702599,0.08712521,0.13128272,9,Rigid Body 2-Marker 3
rigidbody,1,0.00833333,"Rigid Body 1",1,849,3,0.00000000,0.00000000,-0.00000000,0,0.00000000,0.00000000,-0.00000000,0,0.00000000,0.00000000,-0.00000000,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000
rigidbody,1,0.00833333,"Rigid Body 2",2,0,3,1.36391640,0.08467656,0.15372297,3,1.36078525,0.08552074,0.07629275,6,1.47692633,0.08666448,0.12974997,9,1.36392653,0.08462172,0.15343040,1.35942829,0.08478693,0.07413115,1.47702599,0.08712521,0.13128272,1,1,1,0.54644072,0.00000000,0.34325510,0.00170276
frame,2,0.01666667,1,2,1.40060592,0.08585732,0.11995094,0.00843909,-0.04500436,-0.02675626,0.99859273,-5.19002819,-3.01960301,1.10527635,4,2.49839330,0.59535891,-1.18376088,3,Marker-3,1.36396027,0.08467048,0.15345970,3,Rigid Body 2-Marker 1,1.35941911,0.08481281,0.07410756,6,Rigid Body 2-Marker 2,1.47711957,0.08727442,0.13138317,9,Rigid Body 2-Marker 3
rigidbody,2,0.01666667,"Rigid Body 1",1,850,3,0.00000000,0.00000000,-0.00000000,0,0.00000000,0.00000000,-0.00000000,0,0.00000000,0.00000000,-0.00000000,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000
rigidbody,2,0.01666667,"Rigid Body 2",2,0,3,1.36399078,0.08488708,0.15376341,3,1.36083984,0.08544973,0.07633143,6,1.47698700,0.08723514,0.12975791,9,1.36396027,0.08467048,0.15345970,1.35941911,0.08481281,0.07410756,1.47711957,0.08727442,0.13138317,1,1,1,0.56322205,0.00000000,0.34968406,0.00175502
frame,3,0.02500000,1,2,1.40054488,0.08579011,0.11992887,0.00862443,-0.04539696,-0.02808488,0.99853694,-5.23754883,-3.17033410,1.13475227,4,2.49840093,0.59536374,-1.18372893,3,Marker-3,1.36399198,0.08470307,0.15348698,3,Rigid Body 2-Marker 1,1.35942256,0.08479223,0.07410843,6,Rigid Body 2-Marker 2,1.47711754,0.08726122,0.13138153,9,Rigid Body 2-Marker 3
rigidbody,3,0.02500000,"Rigid Body 1",1,851,3,0.00000000,0.00000000,-0.00000000,0,0.00000000,0.00000000,-0.00000000,0,0.00000000,0.00000000,-0.00000000,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000
